,tweet,subjectivity,polarity,analysis
85,"Long chain hydrocarbons, like kerosene, excellent volumetric energy density, really want rockets best way bind hydrogen, CH4. Also, easy make &amp; store CH4+O2 CO2+H2O, abundant Mars.",0.6138888888888889,0.5305555555555556,Positive
86,♥️ 🌍 🌎 🌏 ♥️,0.0,0.0,Neutral
87,"Fully reusable rockets want high T/W minimize $/ton orbit, propellant cost actually matters",0.31999999999999995,0.08,Positive
88,Automatically drive obvious location unless occupant says otherwise,0.5,0.0,Neutral
89,"With that, Ship basically begging extra 3 engines",0.1,0.0,Neutral
90,33,0.0,0.0,Neutral
91,Exactly,0.25,0.25,Positive
92,_shiv “Ignition!”,0.0,0.0,Neutral
93,_shiv Throw hydrogen &amp; lithium real party,0.30000000000000004,0.2,Positive
94,_shiv 🔥,0.0,0.0,Neutral
95,What propellant?,0.0,0.0,Neutral
96,"Moving ~23 times speed sound, circling Earth every ~90 minutes",0.4,0.4,Positive
97,"Ironically, yes time. FSD beta system times seem good vigilance isn’t necessary, is. Also, beta user isn’t super careful get booted. 2000 beta users operating almost year accidents. Needs stay way.",0.8166666666666667,0.2333333333333333,Positive
98,"Yeah. We’d use Ka parabolics laser links Dragon, Starship spacecraft soon got cloud level.",0.0,0.0,Neutral
99,Sorry cold! Dragon food warmer &amp; free wifi next time :),0.76,-0.06999999999999999,Negative
100,": The crew set return Earth Saturday, September 18 targeted splashdown 7:06 p.m. EDT the…",0.0,0.0,Neutral
101,: Our crew chatted space patients ! Watch event here: Support St. Jud…,0.0,0.0,Neutral
102,Jay right,0.5357142857142857,0.2857142857142857,Positive
103,"Please add voice public comments. Support greatly appreciated! Humanity’s future moon, Mars &amp; beyond depends upon it. Thanks, Elon",0.12291666666666667,0.1125,Positive
104,: The crew share live on-orbit update multi-day journey aboard Dragon spacecraft ~5:00 p…,0.5,0.13636363636363635,Positive
105,"The lesson “tortoise &amp; hare” tortoises faster, rather hares complacent",0.0,0.0,Neutral
106,September interesting,0.5,0.5,Positive
107,"Technology probably ready months, thereafter limited regulatory approval",0.3214285714285714,0.0642857142857143,Positive
108,"Beta button request permission assess driving behavior using Tesla insurance calculator. If driving behavior good 7 days, beta access granted.",0.6000000000000001,0.7,Positive
109,Yes,0.0,0.0,Neutral
110,Next month,0.0,0.0,Neutral
111,Good feedback FSD Beta 10 users! 10.0.1 point release rolling now. 10.1 rolls week Friday beta request button.,0.6000000000000001,0.875,Positive
112,_ Truth stranger fiction,0.0,0.0,Neutral
113,Congratulations successful mission!,0.95,0.9375,Positive
114,: The crew Inspiration4 incredible first day space! They’ve completed 15 orbits around planet Eart…,0.6166666666666667,0.60625,Positive
115,"RIP, Sir Sinclair. I loved computer.",0.8,0.7,Positive
116,Just spoke crew. All well.,0.0,0.0,Neutral
117,Missions like Inspiration4 help advance spaceflight enable ultimately anyone go orbit &amp; beyond,1.0,0.0,Neutral
118,That’s safe word,0.5,0.5,Positive
119,Maneuverability important safety,1.0,0.4,Positive
120,Thanks Richard!,0.2,0.25,Positive
121,Thank,0.0,0.0,Neutral
122,It honor wish Godspeed left orbit!,0.0,0.0,Neutral
123,: View Dragon’s cupola,0.0,0.0,Neutral
124,": During multi-day journey, crew conduct scientific research designed advance human health Ea…",0.1,0.0,Neutral
125,: Crew send make way Launch Complex 39A,0.4,-0.3,Negative
126,: All systems weather looking good today’s Falcon 9 launch Dragon’s first all-civilian spaceflight. Webcast g…,0.4666666666666667,0.475,Positive
127,Watch Countdown Netflix Inspiration4 mission launching today,0.0,0.0,Neutral
128,: Falcon 9 Dragon pad 39A Florida. Five-hour launch window opens 8:02 p.m. EDT September 15 ht…,0.0,0.0,Neutral
129,"It hard overstate criticality reusable rockets. No less important reusable aircraft, cars bicycles. Essential humanity become multiplanet species &amp; backup biosphere.",0.47708333333333336,0.04791666666666666,Positive
130,It indeed become hard find platform show,0.5416666666666666,-0.2916666666666667,Negative
131,🔥🔥,0.0,0.0,Neutral
132,: Dragon’s first all-civilian crew,0.3333333333333333,0.25,Positive
133,I’m saying UFOs … UFOs,0.0,0.0,Neutral
134,"Also, need figure render voxel height unknown objects way isn’t horrendous",0.6,-0.1,Negative
135,"FSD 10 predicts height video pixels directly, without needing classify groups pixels objects. In principle, even UFO crashed road right front you, would still avoid debris. Some work still needed tune sensitivity.",0.46785714285714286,0.19285714285714284,Positive
136,Deep,0.4,0.0,Neutral
137,"Whether it’s stamp collectors Andorra petticoat aficionados Lichtenstein, none resist!",0.0,0.0,Neutral
138,Nice work!,1.0,0.75,Positive
139,Gravitas,0.0,0.0,Neutral
140,Nicheman (power appealing niche audiences) strikes hahaha,0.45,0.35,Positive
141,Emojilution,0.0,0.0,Neutral
142,They … yet friends,0.0,0.0,Neutral
143,Ok ok haha,0.43333333333333335,0.39999999999999997,Positive
144,Will do!,0.0,0.0,Neutral
145,Floki arrived,0.0,0.0,Neutral
146,🤣,0.0,0.0,Neutral
147,(Ahem),0.0,0.0,Neutral
148,🤣🤣,0.0,0.0,Neutral
149,Literally!,0.0,0.0,Neutral
150,_Lowne Forward flaps change lot upcoming versions Starship – smaller &amp; leeward,0.5,0.0,Neutral
151,"This written Ford/UAW lobbyists, make electric car Mexico. Not obvious serves American taxpayers.",0.25,0.0,Neutral
152,"Falcon 9 technically heavy lift rocket. If flown expendable, payload orbit similar Delta IV Heavy (~25 tons LEO). And Starship ~10 times bigger.",0.475,-0.1,Negative
153,Nice drive,1.0,0.6,Positive
154,🤣,0.0,0.0,Neutral
155,,0.0,0.0,Neutral
156,"_Enough With 10.1, creep forward confidence &amp; quickly reverse back little (just person would) sees danger",0.375,0.03645833333333333,Positive
157,Think Beta 10 enabling significantly higher local maximum Beta 9,0.25,0.125,Positive
158,"To fair, investors giving us significant credit achieving self-driving, given Tesla’s valuation/production high compared automakers",0.7716666666666666,0.4116666666666666,Positive
159,Three weeks,0.0,0.0,Neutral
160,Digital clock coming 2 weeks,0.0,0.0,Neutral
161,🤣🤣,0.0,0.0,Neutral
162,Please challenge Tim Apple trial combat 🙏,0.0,0.0,Neutral
163,Didn’t sorta win?,0.4,0.8,Positive
164,"Highway stack still production version, polished FSD now. Single stack release 10.1.",0.21428571428571427,-0.07142857142857142,Negative
165,Yeah,0.0,0.0,Neutral
166,"These V1.5 Starlinks laser inter-satellite links, needed high latitudes &amp; mid ocean coverage",0.26999999999999996,0.08,Positive
167,: Falcon 9 Dragon hangar Launch Complex 39A ahead launching,0.4,-0.3,Negative
168,An early season episode Tesla soap opera!,0.3,0.125,Positive
169,"Great work Tesla team, special thanks Tesla Automation Prüm, critical many high-performance parts Plaid!",0.5642857142857143,0.39642857142857146,Positive
170,,0.0,0.0,Neutral
171,": Our Inspiration4 crew completed astronaut training ’s headquarters Hawthorne, CA en route Ke…",0.0,0.0,Neutral
172,Exactly. Getting paid government launch payloads much lower prices competitors “government support”.,0.225,0.225,Positive
173,Satellites “lasers” “space” [strokes white cat],0.0,0.0,Neutral
174,"Alter falter! Dankeschön Nürburgring, Tesla wird geerht.",0.0,0.0,Neutral
175,Booster static fire orbital launch mount hopefully next week,0.45,0.25,Positive
176,Metallurgy Rūlz,0.0,0.0,Neutral
177,POV Hardcore,0.0,0.0,Neutral
178,"Track software update probably weeks away (I know, I know haha). Also waypoints &amp; things.",0.3,0.2,Positive
179,"_ Tesla doesn’t bandwidth it, good third party mod shops",0.3333333333333333,0.3,Positive
180,"Next modified Plaid added aero surfaces, carbon brakes &amp; track tires (all things done without Tesla loop)",0.0,0.0,Neutral
181,"Tesla Model S Plaid set official world speed record production electric car Nurburgring. Completely unmodified, directly factory.",0.4,0.1,Positive
182,"Maybe not, it’s 99% dot products",0.0,0.0,Neutral
183,The build I’m driving right almost there. FSD 10 blow mind.,0.5357142857142857,0.2857142857142857,Positive
184,"Expansion gradual, based ensuring maximum safety",0.0,0.0,Neutral
185,Am I yoke you? 😢,0.0,0.0,Neutral
186,Yet another round wheel boring &amp; blocks screen. FSD panoramic mode looks way better yoke.,0.6333333333333333,-0.2333333333333333,Negative
187,Just messin ya haha,0.3,0.2,Positive
188,_Skeptic Are today yesterday?,0.0,0.0,Neutral
189,_Skeptic It seems working …,0.0,0.0,Neutral
190,_Skeptic,0.0,0.0,Neutral
191,,0.0,0.0,Neutral
192,Cybertruck like others,0.0,0.0,Neutral
193,That sums well!,0.0,0.0,Neutral
194,🤣,0.0,0.0,Neutral
195,Thanks! What favorite tea?,0.6,0.375,Positive
196,"And doesn’t work, he’s gonna sue death!",0.0,0.0,Neutral
197,Impressive!,1.0,1.0,Positive
198,Worth,0.1,0.3,Positive
199,Many times,0.5,0.5,Positive
